company,rank,revenues,profits,employees,sector,city,state,ceo_founder,ceo_woman,profitable,market_cap,website,ticker,assets,revenue_usd_millions,profit_usd_millions,market_cap_usd_millions,assets_usd_millions,documented_adoption_edges,documented_investment_edges,documented_ai_company
Walmart,1,$648125MM,$15511MM,2100000,Retailing,Bentonville,Arkansas,no,no,yes,$484852.8MM,https://www.stock.walmart.com,WMT,$252399MM,648125.0,15511.0,484852.8,252399.0,1,0,1
Amazon,2,$574785MM,$30425MM,1525000,Retailing,Seattle,Washington,no,no,yes,$1873675.8MM,https://www.amazon.com,AMZN,$527854MM,574785.0,30425.0,1873675.8,527854.0,0,1,1
Apple,3,$383285MM,$96995MM,161000,Technology,Cupertino,California,no,no,yes,$2647973.8MM,https://www.apple.com,AAPL,$352583MM,383285.0,96995.0,2647973.8,352583.0,0,0,0
UnitedHealth Group,4,$371622MM,$22381MM,440000,Health Care,Minnetonka,Minnesota,no,no,yes,$456080.8MM,https://www.unitedhealthgroup.com,UNH,$273720MM,371622.0,22381.0,456080.8,273720.0,0,0,0
Berkshire Hathaway,5,$364482MM,$96223MM,396500,Financials,Omaha,Nebraska,no,no,yes,$908919.7MM,https://www.berkshirehathaway.com,BRKA,$1069978MM,364482.0,96223.0,908919.7,1069978.0,0,0,0
CVS Health,6,$357776MM,$8344MM,259500,Health Care,Woonsocket,Rhode Island,no,yes,yes,$100373.9MM,https://www.cvshealth.com,CVS,$249728MM,357776.0,8344.0,100373.9,249728.0,0,0,0
Exxon Mobil,7,$344582MM,$36010MM,61500,Energy,Spring,Texas,no,no,yes,$461222.2MM,https://www.exxonmobil.com,XOM,$376317MM,344582.0,36010.0,461222.2,376317.0,0,0,0
Alphabet,8,$307394MM,$73795MM,182502,Technology,Mountain View,California,no,no,yes,$1884633MM,https://www.abc.xyz,GOOGL,$402392MM,307394.0,73795.0,1884633.0,402392.0,0,1,1
McKesson,9,$276711MM,$3560MM,48000,Health Care,Irving,Texas,no,no,yes,$70546.5MM,https://www.mckesson.com,MCK,$62320MM,276711.0,3560.0,70546.5,62320.0,0,0,0
Cencora,10,$262173.4MM,$1745.3MM,44000,Health Care,Conshohocken,Pennsylvania,no,no,yes,$48472.1MM,https://www.cencora.com,COR,$62558.7MM,262173.4,1745.3,48472.1,62558.7,0,0,0
Costco Wholesale,11,$242290MM,$6292MM,316000,Retailing,Issaquah,Washington,no,no,yes,$324924.4MM,https://www.costco.com,COST,$68994MM,242290.0,6292.0,324924.4,68994.0,0,0,0
JPMorgan Chase,12,$239425MM,$49552MM,309926,Financials,New York,New York,no,no,yes,$576938.4MM,https://www.jpmorganchase.com,JPM,$3875393MM,239425.0,49552.0,576938.4,3875393.0,0,0,0
Microsoft,13,$211915MM,$72361MM,221000,Technology,Redmond,Washington,no,no,yes,$3126133.1MM,https://www.microsoft.com,MSFT,$411976MM,211915.0,72361.0,3126133.1,411976.0,0,1,1
Cardinal Health,14,$205012MM,$261MM,47520,Health Care,Dublin,Ohio,no,no,yes,$27217.8MM,https://www.cardinalhealth.com,CAH,$43417MM,205012.0,261.0,27217.8,43417.0,0,0,0
Chevron,15,$200949MM,$21369MM,45600,Energy,San Ramon,California,no,no,yes,$292965.6MM,https://www.chevron.com,CVX,$261632MM,200949.0,21369.0,292965.6,261632.0,0,0,0
Cigna,16,$195265MM,$5164MM,71413,Health Care,Bloomfield,Connecticut,no,no,yes,$103017.9MM,https://www.thecignagroup.com,CI,$152761MM,195265.0,5164.0,103017.9,152761.0,0,0,0
Ford Motor,17,$176191MM,$4347MM,177000,Motor Vehicles & Parts,Dearborn,Michigan,no,no,yes,$53017.8MM,https://www.ford.com,F,$273310MM,176191.0,4347.0,53017.8,273310.0,0,0,0
Bank of America,18,$171912MM,$26515MM,212985,Financials,Charlotte,North Carolina,no,no,yes,$299213MM,https://www.bankofamerica.com,BAC,$3180151MM,171912.0,26515.0,299213.0,3180151.0,0,0,0
General Motors,19,$171842MM,$10127MM,163000,Motor Vehicles & Parts,Detroit,Michigan,no,yes,yes,$52353.5MM,https://www.gm.com,GM,$273064MM,171842.0,10127.0,52353.5,273064.0,0,0,0
Elevance Health,20,$171340MM,$5987MM,104900,Health Care,Indianapolis,Indiana,no,yes,yes,$120619.6MM,https://www.elevancehealth.com,ELV,$108928MM,171340.0,5987.0,120619.6,108928.0,0,0,0
Citigroup,21,$156820MM,$9228MM,237925,Financials,New York,New York,no,yes,yes,$121122.2MM,https://www.citigroup.com,C,$2411834MM,156820.0,9228.0,121122.2,2411834.0,0,0,0
Centene,22,$153999MM,$2702MM,67700,Health Care,St. Louis,Missouri,no,yes,yes,$41979.4MM,https://www.centene.com,CNC,$84641MM,153999.0,2702.0,41979.4,84641.0,0,0,0
Home Depot,23,$152669MM,$15143MM,463100,Retailing,Atlanta,Georgia,no,no,yes,$380153.7MM,https://www.homedepot.com,HD,$76530MM,152669.0,15143.0,380153.7,76530.0,0,0,0
Marathon Petroleum,24,$150307MM,$9681MM,18200,Energy,Findlay,Ohio,no,no,yes,$72607.7MM,https://www.marathonpetroleum.com,MPC,$85987MM,150307.0,9681.0,72607.7,85987.0,0,0,0
Kroger,25,$150039MM,$2164MM,414000,Food & Drug Stores,Cincinnati,Ohio,no,no,yes,$41100.7MM,https://www.thekrogerco.com,KR,$50505MM,150039.0,2164.0,41100.7,50505.0,1,0,1
Phillips 66,26,$149890MM,$7015MM,14000,Energy,Houston,Texas,no,no,yes,$69880.8MM,https://www.phillips66.com,PSX,$75501MM,149890.0,7015.0,69880.8,75501.0,0,0,0
Fannie Mae,27,$141240MM,$17408MM,8100,Financials,Washington,District Of Columbia,no,yes,yes,$1818.2MM,https://www.fanniemae.com,FNMA,$4325437MM,141240.0,17408.0,1818.2,4325437.0,0,0,0
