node,in_degree,out_degree,total_degree,pagerank,betweenness
Berkshire Hathaway,0,21,21,0.011141569793794692,0.0
OpenAI,14,0,14,0.1872919442570693,0.0
Microsoft,6,1,7,0.06796339409580869,0.0018148820326678767
Anthropic,7,0,7,0.05549418200990666,0.0
Salesforce,0,7,7,0.011141569793794692,0.0
Google,6,0,6,0.05549418200990666,0.0
Alphabet,1,1,2,0.011592536653334486,0.00030248033877797946
Kroger,1,1,2,0.011592536653334486,0.00030248033877797946
Amazon,0,2,2,0.011141569793794692,0.0
Intuit,0,2,2,0.011141569793794692,0.0
Palo Alto Networks,0,2,2,0.011141569793794692,0.0
Intel,1,0,1,0.015876721818962523,0.0
Cohere,1,0,1,0.012494470372414072,0.0
Runway,1,0,1,0.012494470372414072,0.0
Together AI,1,0,1,0.012494470372414072,0.0
ElevenLabs,1,0,1,0.012494470372414072,0.0
Writer,1,0,1,0.012494470372414072,0.0
Ally Financial,1,0,1,0.011592536653334486,0.0
American Express,1,0,1,0.011592536653334486,0.0
Apple,1,0,1,0.011592536653334486,0.0
Bank of America,1,0,1,0.011592536653334486,0.0
Capital One Financial,1,0,1,0.011592536653334486,0.0
Chevron,1,0,1,0.011592536653334486,0.0
Coca-Cola,1,0,1,0.011592536653334486,0.0
D.R. Horton,1,0,1,0.011592536653334486,0.0
DaVita,1,0,1,0.011592536653334486,0.0
Delta Air Lines,1,0,1,0.011592536653334486,0.0
Jefferies Financial Group,1,0,1,0.011592536653334486,0.0
Kraft Heinz,1,0,1,0.011592536653334486,0.0
Lennar,1,0,1,0.011592536653334486,0.0
Macy's,1,0,1,0.011592536653334486,0.0
Moody's,1,0,1,0.011592536653334486,0.0
Nucor,1,0,1,0.011592536653334486,0.0
Occidental Petroleum,1,0,1,0.011592536653334486,0.0
Sirius XM Holdings,1,0,1,0.011592536653334486,0.0
VeriSign,1,0,1,0.011592536653334486,0.0
Walmart,0,1,1,0.011141569793794692,0.0
Morgan Stanley,0,1,1,0.011141569793794692,0.0
Moderna,0,1,1,0.011141569793794692,0.0
Lowe's,0,1,1,0.011141569793794692,0.0
Amgen,0,1,1,0.011141569793794692,0.0
Booking Holdings,0,1,1,0.011141569793794692,0.0
Cisco,0,1,1,0.011141569793794692,0.0
T-Mobile US,0,1,1,0.011141569793794692,0.0
Target,0,1,1,0.011141569793794692,0.0
Thermo Fisher Scientific,0,1,1,0.011141569793794692,0.0
PayPal Holdings,0,1,1,0.011141569793794692,0.0
Bank of New York Mellon,0,1,1,0.011141569793794692,0.0
PVH,0,1,1,0.011141569793794692,0.0
Bristol-Myers Squibb,0,1,1,0.011141569793794692,0.0
PepsiCo,0,1,1,0.011141569793794692,0.0
Procter & Gamble,0,1,1,0.011141569793794692,0.0
Wells Fargo,0,1,1,0.011141569793794692,0.0
Lumen Technologies,0,1,1,0.011141569793794692,0.0
Block,0,1,1,0.011141569793794692,0.0
AES,0,1,1,0.011141569793794692,0.0
Best Buy,0,1,1,0.011141569793794692,0.0
HCA Healthcare,0,1,1,0.011141569793794692,0.0
Wayfair,0,1,1,0.011141569793794692,0.0
